recipe_name,recipe_name_NL,recipe_id,n_ingredients,ingredients,"[..., ..., ...]",,,,,,,
Stewed zucchini,Gestoofde courgette,1,5,"courgette, basilicum, knoflook, olijfolie, tomaat",,,,,,,,Note to self: kruiden weglaten
Butter chicken,Butter chicken,11,9,"kipfilet, slagroom, tomatenblokjes, Griekse yoghurt, zonnebloemolie, roomboter, knoflook, ui",,,,,,,,andere AI groepje
"Chickpea bowl with sweet potato, quinoa and spinach","Kik­ker­erw­ten­bowl met zoe­te aard­ap­pel, quinoa en spi­na­zie",12,9,"kikkererwten, zoete aardappel, olijfolie, quinoa, spinazie, rode peper, Griekse yoghurt",,,,,,,,https://www.eefkooktzo.nl/butter-chicken/
Lasagne,Lasagne,13,9,"ui, knoflook, gehakt, gepelde tomaten in blik, roomboter, tarwebloem, halfvolle melk, lasagnebladen, geraspte kaas",,,,,,,,https://www.ah.nl/allerhande/recept/R-R1193431/kikkererwtenbowl-met-zoete-aardappel-quinoa-en-spinazie
Risotto with ham,Risotto met ham,14,8,"ui, olijfolie, risottorijst, ham, diepvries tuinerwten, roomboter, parmezaanse kaas",,,,,,,,https://www.ah.nl/allerhande/recept/R-R443478/italiaanse-lasagne
Oven dish with baby potatoes and broccoli,Ovenschotel met krieltjes en broccoli,15,5,"broccoli, krieltjes, cherrytomaten, pastasaus, geraspte kaas",,,,,,,,https://www.ah.nl/allerhande/recept/R-R689136/risotto-met-ham
Vegetarian chicken teriyaki with spinach and rice,Ve­ga te­riy­a­ki-kip met spi­na­zie & rijst,16,6,"rijst, rode ui, olijfolie, stukjes als van kip, spinazie",,,,,,,,https://www.ah.nl/allerhande/recept/R-R1194408/ovenschotel-met-krieltjes-en-broccoli
Quiche with salmon,Zalmquiche,17,8,"bladerdeeg, ui, diepvries zalmfilet, olijfolie, diepvries tuinerwten, ei, slagroom, geraspte kaas",,,,,,,,https://www.ah.nl/allerhande/recept/R-R1194232/vega-teriyaki-kip-met-spinazie-en-rijst
Indian vegetable curry with naan,Indiase groentecurry met naanbrood,18,10,"rode ui, zonnebloemolie, bloemkool, pompoen, kikkererwten, gepelde tomaten in blik, tarwebloem, Griekse yoghurt, olijfolie",,,,,,,,https://www.ah.nl/allerhande/recept/R-R804350/zalmquiche
Moussaka with sweet potato,Moussaka met zoete aardappel,19,12,"zoete aardappel, ui, knoflook, olijfolie, gehakt, tomatenblokjes, aubergine, roomboter, tarwebloem, halfvolle melk, parmezaanse kaas, ei",,,,,,,,https://www.ah.nl/allerhande/recept/R-R1055460/indiase-groentecurry
Tagliatelle dish with spinach and cherry tomatoes,Ta­gli­a­tel­le­scho­tel met spi­na­zie en cher­ry­to­ma­ten,20,8,"ui, cherrytomaten, olijfolie, spekreepjes, spinazie, geraspte kaas, tagliatelle, slagroom",,,,,,,,https://www.ah.nl/allerhande/recept/R-R1192926/moussaka-met-zoete-aardappel
Ratatouille,Ratatouille,21,7,"ui, knoflook, aubergine, courgette, rode paprika, olijfolie, tomatenblokjes",,,,,,,,https://www.ah.nl/allerhande/recept/R-R644180/tagliatelleschotel-met-spinazie-en-cherrytomaten
Stir-fried tofu with bell pepper and broccoli,Roer­ge­bak­ken tofu met pa­pri­ka en broc­co­li,22,6,"broccoli, rode peper, tofu, olijfolie, knoflook, rode paprika",,,,,,,,https://www.ah.nl/allerhande/recept/R-R1149256/ratatouille
Risotto bianco with cauliflower,Risotto bianco met bloemkool,23,7,"olijfolie, ui, knoflook, risottorijst, roomboter, parmezaanse kaas, bloemkool",,,,,,,,https://www.ah.nl/allerhande/recept/R-R593168/roergebakken-tofu-met-paprika-en-broccoli
Fishstew with pumpkin,Vis­stoof met pom­poen,24,7,"ui, zonnebloemolie, pompoen,linzen, tomatenblokjes, kabeljauwfilet",,,,,,,,https://www.ah.nl/allerhande/recept/R-R668510/risotto-bianco-met-bloemkool
Chicken with bell pepper and baby potatoes,Kip met paprika en krieltjes,25,5,"kipfilet, olijfolie, krieltjes, rode ui, rode paprika",,,,,,,,https://www.ah.nl/allerhande/recept/R-R1189370/visstoof-met-pompoen
,Hawai rijst,26,7,"rijst, rode paprika, ui, ham, ananas, tomatenblokjes, geraspte kaas",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,1,1,1,1,0,0,0,1,0,0,1
,,"[1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1]",,,,,,,,,,
